"(PDH-CSV 4.0) (India Standard Time)(-330)","\\Z_ANXX1_HPPAVX1\Memory\% Committed Bytes In Use","\\Z_ANXX1_HPPAVX1\Memory\Available MBytes","\\Z_ANXX1_HPPAVX1\Processor Information(_Total)\% Processor Time"
"02/25/2023 11:21:27.681","84.690740584556650106","718","1.444665935225775133"
"02/25/2023 11:21:28.690","84.713808583261865692","712","5.8097227794845496263"
"02/25/2023 11:21:29.682","84.731600290334682768","701","2.1533481480689453669"
"02/25/2023 11:21:30.692","84.679245852092094538","702","4.5225254466397357689"
"02/25/2023 11:21:31.693","84.674032401450446628","702","1.0596078930889873959"
"02/25/2023 11:21:32.691","84.699989758594895761","700","2.8216473290461618895"
"02/25/2023 11:21:33.681","84.928628216713804022","650","6.4226640698849868372"
"02/25/2023 11:21:34.683","84.937359179588355573","647","4.277152882427815328"
"02/25/2023 11:21:35.696","84.904037016654399395","649","2.9980554673810000388"
"02/25/2023 11:21:36.690","85.130304280931667904","635","1.5695291150942369818"
"02/25/2023 11:21:37.685","84.975627852830953657","645","5.8465619332276901332"
"02/25/2023 11:21:38.686","85.45895632949167009","539","3.9588229403224706182"
"02/25/2023 11:21:39.687","85.193870771954266274","616","3.5246532204722180737"
"02/25/2023 11:21:40.685","85.195284077244650689","617","6.531063484049282053"
"02/25/2023 11:21:41.672","85.271051965018514807","609","9.3771015016029917177"
"02/25/2023 11:21:42.690","85.214269227630992987","606","3.8547863327758724594"
"02/25/2023 11:21:43.677","85.18859450360494634","617","10.42356260105171728"
"02/25/2023 11:21:44.688","85.191954994851712968","618","1.3423296107892057627"
"02/25/2023 11:21:45.676","85.007159850794622002","675","5.7146569570245446812"
"02/25/2023 11:21:46.683","85.005919305841885603","675","4.572553062749962649"
"02/25/2023 11:21:47.692","85.213876651882642932","650","1.5487870752964982834"
"02/25/2023 11:21:48.679","84.953266518412448249","661","4.2752538651912086465"
"02/25/2023 11:21:49.690","84.951853213122078046","659","3.5309520644205560913"
"02/25/2023 11:21:50.689","84.956517067029253099","659","1.4321834897918495066"
"02/25/2023 11:21:51.681","84.913301883478027321","661","2.009357031742153854"
"02/25/2023 11:21:52.694","84.962751247212935368","660","3.455927057073349129"
"02/25/2023 11:21:53.693","85.002213363769058674","655","4.0570739899112755467"
"02/25/2023 11:21:54.684","84.871515698002539807","661","1.3142265465184266304"
"02/25/2023 11:21:55.690","84.905560218008602646","670","1.8699292802340727881"
"02/25/2023 11:21:56.691","84.900723627046843944","662","1.9060448176215438743"
"02/25/2023 11:21:57.691","84.899373162747210131","656","2.8555455657376160872"
"02/25/2023 11:21:58.681","84.743942992003624681","702","6.2756808319749168845"
"02/25/2023 11:21:59.696","84.68929589369550115","723","5.598643615137611107"
"02/25/2023 11:22:00.690","84.692389421326197407","715","2.6093639973484128447"
"02/25/2023 11:22:01.689","84.677047395305010014","718","2.5294685847233266962"
"02/25/2023 11:22:02.684","84.674786144093332041","718","3.9472388262805635506"
"02/25/2023 11:22:03.702","84.395300779583706685","814","1.2833839760842957745"
"02/25/2023 11:22:04.681","84.329677136691685746","811","4.8675943423073908534"
"02/25/2023 11:22:05.693","84.385894561276273862","797","2.6514636001642610807"
"02/25/2023 11:22:06.686","84.385439167820251782","798","3.7036928816656433661"
"02/25/2023 11:22:07.681","84.376645387238042417","800","1.9064883625247941445"
"02/25/2023 11:22:08.690","84.370112857867525236","799","1.3547473721401415148"
"02/25/2023 11:22:09.683","84.358398286709189051","786","4.5509437146458830981"
